Ingredient,Quantity
cheese white queso blanco,337
milk bttrmlk fluid whl,211
yogurt vanilla flavor lowfat milk swtnd w lo cal swtnr,536
yogurt frz flavors not choc nonfat milk w low-calorie swtnr,1000
ice crm soft serve choc,666
ice crm bar or stk choc covered,143
ice crm sndwch,178
ice crm cookie sndwch,260
ice crm cone choc covered w nuts flavors other than choc,445
ice crm sndwch made w lt ice crm vanilla,743
ice crm sndwch vanilla lt no sugar added,653
fat free ice crm no sugar added flavors other than choc,174
milk dssrt bar frz made from lowfat milk,633
nutritional supp for people w diabetes liq,830
cheese mexican blend,752
cheese product past process american vitamin d fort,269
cheese past process american wo added vitamin d,677
cheese fd past process american wo added vitamin d,303
egg whl raw frz salted past,865
yogurt greek pln nonfat,277
egg white dried stabilized glucose red,176
cheese sprd american or cheddar chs base red fat,704
cheese cheddar red fat,481
ice crm lt soft serve choc,781
ice crm bar stk or nugget w crunch coating,993
cheese cheddar nonfat or fat free,632
cheese swiss nonfat or fat free,594
cheese mexican queso cotija,609
cheese cheddar sharp sliced,716
cheese mozzarella lo moist part-skim shredded,868
yogurt greek nonfat vanilla chobani,606
yogurt greek strawberry dannon oikos,907
yogurt greek nonfat vanilla dannon oikos,983
yogurt greek nonfat strawberry dannon oikos,400
yogurt greek nonfat strawberry chobani,717
yogurt greek strawberry lowfat,735
yogurt greek strawberry nonfat,335
yogurt greek vanilla nonfat,177
yogurt greek pln lowfat,798
kefir lowfat pln lifeway,506
kefir lowfat strawberry lifeway,612
milk cnd evap wo vit a,425
milk choc fat free w added vit a  vitamin d,920
yogurt greek pln whl milk,698
yogurt greek fruit whl milk,410
yogurt vanilla non-fat,887
yogurt greek vanilla lowfat,130
yogurt frz flavors other than choc lowfat,802
ice crm bar covered w choc  nuts,295
ice crm sundae cone,336
light ice crm creamsicle,990
cream half  half lowfat,321
milk choc lowfat red sugar,915
ice crm lowfat no sugar added cone added pnuts  choc sau,378
allspice ground,717
anise seed,911
spices basil dried,497
spices bay leaf,742
caraway seed,311
spices cardamom,847
celery seed,523
chervil dried,443
chili powder,681
cinnamon ground,247
cloves ground,561
coriander leaf dried,550
coriander seed,577
cumin seed,660
curry powder,121
dill seed,318
dill weed dried,832
fennel seed,695
fenugreek seed,135
garlic powder,649
ginger ground,698
mace ground,968
marjoram dried,747
spices mustard sd ground,133
nutmeg ground,289
onion powder,878
spices oregano dried,656
paprika,750
parsley dried,218
pepper black,380
pepper red or cayenne,158
pepper white,193
poppy seed,478
poultry seasoning,699
pumpkin pie spice,814
rosemary dried,370
saffron,747
sage ground,849
savory ground,496
spices tarragon dried,934
spices thyme dried,735
turmeric ground,187
basil fresh,467
dill weed frsh,617
mustard prepared yellow,916
salt table,475
vinegar cider,440
thyme frsh,188
vanilla extract,555
vanilla extract imitn alcohol,395
vanilla extract imitn no alcohol,145
vinegar distilled,624
capers canned,657
horseradish prepared,486
rosemary fresh,392
peppermint fresh,596
spearmint fresh,753
spearmint dried,923
vinegar red wine,747
vinegar balsamic,352
pace dry taco seas mix,732
seasoning mix dry sazon coriander  annatto,954
seasoning mix dry taco original,583
seasoning mix dry chili original,851
clif z bar,964
babyfood juc treats fruit medley todd,874
babyfood meat bf str,132
babyfood meat bf jr,568
babyfood meat veal str,536
babyfood meat pork str,292
babyfood meat ham str,985
babyfood meat ham junior,674
babyfood meat lamb str,670
babyfood meat lamb junior,433
babyfood meat chick str,230
babyfood meat chick jr,787
babyfood meat chick stks jr,694
babyfood meat turkey str,550
babyfood meat turkey jr,317
babyfood  meat  turkey sticks  junior,932
babyfood snack gerber graduate fruit strips real fruit bars,123
babyfood meat meat stks jr,307
babyfood gerber 2nd foods appl carrot  squash organic,609
babyfood finger snacks gerber graduates puffs appl  cinn,491
babyfood h2o btld gerber wo added fluoride,360
babyfood gerber 3rd foods appl mango  kiwi,250
babyfood tropical fruit medley,276
babyfood dinner vegdumplingsbf str,903
babyfood dinner vegdumplingsbf jr,219
babyfood dinner bf lasagna todd,880
babyfood dinner macaronitomatobf str,199
babyfood dinner macaronitomatobf jr,720
babyfood ravioli chs filled wtomato sau,676
babyfood dinner bf noodle str,728
babyfood macaronichs todd,831
babyfood dinner bfrice todd,722
babyfood dinner spaghettitomatomeat jr,854
babyfood dinner spaghettitomatomeat todd,184
babyfood dinner bf stew todd,350
babyfood dinner vegbf str,898
babyfood dinner vegbf jr,525
babyfood dinner bf wveg,534
babyfood dinner vegbacon str,189
babyfood dinner vegham str,547
babyfood dinner vegham jr,255
babyfood dinner veglamb str,592
babyfood dinner veglamb jr,765
babyfood dinner chick noodle str,832
babyfood dinner chick noodle jr,359
babyfood dinner chick soup str,355
babyfood  dinner  chick stew  todd,750
babyfood dinner veg chick str,715
babyfood dinner veg noodleschick str,884
babyfood dinner veg noodleschick jr,117
babyfood dinner pasta wveg,757
babyfood dinner vegnoodlesturkey str,537
babyfood dinner vegnoodlesturkey jr,538
babyfood dinner turkeyrice str,670
babyfood dinner turkey  rice jr,487
babyfood dinner vegturkey str,596
babyfood dinner vegturkey jr,142
babyfood dinner macaronichs str,985
babyfood dinner macaronichs jr,565
babyfood veg grn bns str,154
babyfood veg grn bns jr,110
babyfood grn bns dices todd,997
babyfood veg grn bnspotatoes,817
babyfood veg beets str,671
babyfood veg carrots str,516
babyfood veg carrots jr,222
babyfood veg squash str,107
babyfood veg squash jr,682
babyfood veg swt potatoes str,131
babyfood veg swt potatoes jr,481
babyfood potatoes toddler,824
babyfood veg butternut squashcorn,651
babyfood appls dices todd,988
babyfood fruit applsauc str,287
babyfood fruit applsauc jr,694
babyfood fruit apricot wtapioca str,704
babyfood veg corn crmd str,386
babyfood veg corn crmd jr,102
babyfood veg peas str,290
babyfood peas dices todd,560
babyfood veg spinach crmd str,178
babyfood fruit apricot wtapioca jr,121
babyfood fruit bananas wtapioca str,860
babyfood fruit peaches str,667
babyfood fruit peaches jr,637
babyfood fruit pears str,433
babyfood fruit pears jr,835
babyfood fruit plums wtapioca wovit c str,140
babyfood fruit plums wtapioca wovit c jr,298
babyfood fruit prunes wtapioca wovit c str,653
babyfood fruit prunes wtapioca wovit c jr,210
babyfood prunes wovit c str,322
babyfood fruit dssrt mango w tapioca,497
babyfood pears dices todd,480
babyfood fruit applsaucapricots str,175
babyfood fruit applsaucapricots jr,410
babyfood fruit applsauccherries str,672
babyfood fruit applsauc  cherries jr,640
babyfood fruit applsauc wbanana jr,911
babyfood fruit applsaucpnappl str,312
babyfood fruit applsaucpnappl jr,573
babyfood fruit appl  raspberry str,426
babyfood fruit appl  raspberry jr,545
babyfood fruit  veg appl  swt potato,795
babyfood fruit bananaspnappl wtapioca jr,470
babyfood fruit bananaspnappl wtapioca str,804
babyfood fruit pearspnappl str,119
babyfood fruit pearspnappl jr,523
babyfood fruit guavapapaya wtapioca str,101
babyfood peaches dices todd,508
babyfood fruit papayaapplsauc wtapioca str,314
babyfood fruit bananas wapplspears str,548
babyfood fruit applblueberry str,792
babyfood fruit applblueberry jr,811
babyfood juice apple,749
babyfood apple-banana juc,141
babyfood juc applpeach,339
babyfood apple-cranberry juc,899
babyfood juc applplum,155
babyfood juc applprune,331
babyfood juice orange,290
babyfood juc orangeappl,502
babyfood juc orangeapplbanana,374
babyfood juc orangeapricot,145
babyfood juc orangebanana,295
babyfood juc orangepnappl,869
babyfood juc pruneorange,917
babyfood juc mxd fruit,500
babyfood crl barley dry fort,187
babyfood crl whl wheat w appls dry fort,320
babyfood crl mxd dry fort,604
babyfood crl mxd w bananas dry,436
babyfood crl mxd w applsauc  bananas str,798
babyfood crl mxd w applsauc  bananas jr fort,135
babyfood crl oatmeal dry fort,298
babyfood crl oatmeal w bananas dry,754
babyfood crl oatmeal w applsauc  bananas str,410
babyfood crl oatmeal w applsauc  bananas jr fort,259
babyfood crl oatmeal whoney dry,655
babyfood crl rice dry fort,356
babyfood crl rice w applsauc  bananas str,301
babyfood crl wegg yolks str,851
babyfood crl wegg yolks jr,310
babyfood crl weggs str,801
babyfood crl egg yolksbacon jr,304
babyfood oatmeal crl w fruit dry inst todd fort,680
babyfood cookie baby fruit,337
babyfood crackers veg,645
babyfood crl hi prot wapplorange dry,597
babyfood crl rice w bananas dry,251
babyfood cookies,106
babyfood cookies arrowroot,986
babyfood pretzels,564
babyfood teething biscuits,263
zwieback,483
babyfood dssrt dutch appl str,105
babyfood dssrt dutch appl jr,498
babyfood cherry cobbler jr,882
babyfood dssrt cherry vanilla pudd str,390
babyfood dssrt cherry vanilla pudd jr,590
babyfood dssrt fruit pudd orange str,758
babyfood dssrt peach cobbler str,184
babyfood dssrt peach cobbler jr,751
babyfood dssrt peach melba str,915
babyfood dssrt peach melba jr,299
babyfood dssrt fruit pudd pnappl str,933
babyfood dssrt fruit dssrt wovit c str,334
babyfood dssrt fruit dssrt wovit c jr,784
babyfood dssrt tropical fruit jr,868
babyfood dssrt custard pudd vanilla str,645
babyfood dssrt custard pudd vanilla jr,382
babyfood juc applgrape,686
babyfood juc fruit punch wca,795
babyfood juc applcherry,814
babyfood juc appl wca,498
babyfood dinner vegchick jr,246
babyfood dinner mxd veg str,742
babyfood dinner mxd veg jr,736
babyfood fruit bananas wtapioca jr,452
babyfood veg mix veg jr,717
babyfood veg garden veg str,705
babyfood veg mix veg str,221
babyfood dinner bf noodle jr,748
babyfood appls wham str,263
babyfood carrotsbf str,305
babyfood plums bananasrice str,239
babyfood turkey riceveg todd,454
babyfood dinner applschick str,764
babyfood dinner broccoli  chick jr,700
babyfood  beverage  gerber graduate fruit splashers,787
babyfood snack gerber graduates yogurt melts,322
babyfood dinner swt potatoeschick str,115
babyfood dinner potatoes wchsham todd,835
babyfood crl barley prep wwhl milk,479
babyfood crl hi prot prep wwhl milk,166
babyfood crl mxd prep wwhl milk,520
babyfood crl mxd wbananas prep wwhl milk,456
babyfood crl oatmeal prep wwhl milk,759
babyfood crl oatmeal wbananas prep wwhl milk,448
babyfood crl oatmeal whoney prep wwhl milk,569
babyfood crl rice prep wwhl milk,306
babyfood crl rice whoney prep wwhl milk,851
babyfood crl mxd whoney prep wwhl milk,139
babyfood crl hi prot wapplorange prep wwhl milk,832
babyfood crl rice wbananas prep wwhl milk,783
inf formula nestle good start supreme w iron rtf,163
inf formula nes g start supr w iron liq conc not recon,977
inf formula nestle good start supreme w iron pdr,283
inf formula  mead johnson  enfamil  wiron  rtf,765
inf formula mead johnson enfamil w iron pdr,102
infant formula mead johnson enfamil lo iron rtf,425
inf formula mead johnson enfamillipil wirn pdr w ara  dha,253
inf formula  mead johnson  enfamil  lo iron  powd  not recon,458
inf formu mead johns enfa lipil w iro liq conc w ara  dha,841
inf formula mead johnson enfamil nutramigen w iron rtf,870
inf form mead johnson enfamil nutramigen wiron pdr notrecn,286
inf formula  mead john  enfamil lipil w iron rtf w ar  dh,306
inf form mead johnson enfamil nutramigen wiron lc not recon,538
inf form me johns enfam lip lo iron liq conc w ara  dha,350
child formula mead johnson portagen w iron pdr not recon,180
child formula mead johnson portagen w iron prep from pdr,663
inf formula mead johnson  pregestimil  wiron  pdr no recon,614
inf formula  mead johnson  pregestimil  wiron  prep fro pdr,476
inf formula mead johnson prosobee w iron rtf,411
inf formula  mead johnson  prosobee wiron  liq cnc  not rec,883
inf for me john enfam lipil lo iron ready to fe w ara  dha,410
inf formula mead johnson enfamil prosobee iron pdr not recon,401
inf formula  me john  enfa  lacf lip  wiro  pow  war an dh,288
inf formu  me joh  enf  lac  li  w ir li co n re w ar  dh,989
inf formula mead johnson enfamil lipil rtf w ara  dha,438
inf formula  abbott nutr  similac  pm 6040  pdr not recon,584
inf for me joh enf nutr lipil w iro pdr not re w ara  dha,355
inf formula  abb nut simi nat ca ad rtf w ara  dha,767
inf formula  ab nut  sim  sp ca  adv 24 w ir  rt w ar  dh,989
inf formula  abbo nutr  simil isomi w iron rtf,196
inf formula  abbott nutr  similac  isomil w iron liq conc,384
inf formula  abbo nutr  simila  isomi  w iron pdr not recon,566
inf fo me jo enf nutr lipil w ir liq co not re w ara  dha,439
inf formu me johns enfam nutra lipi w iro rtf w ara  dha,555
inf formula  abbott nutr  similac  alimentum  w iron rtf,156
inf formu  me johns  enfam  enfa lip  wiro  pow  waran dh,764
inf formula  abbott nutr  similac  w iron  rtf,351
inf form  ab nutr  similac  w iron  liq conc  not recon,587
inf formula  mea joh en pr lipi w iro pd no re w ara  dha,309
inf formula  abbott nutr  similac  w iron  pdr  not recon,737
infformula  mead johns enfamil prosob lipi lc notrec aradha,286
inf formula  abbott nutr  similac  lo iron  rtf,512
inf formula  abbott nutr  similac  lo iron liq conc not reco,680
inf formula mejohn prosobe lipi w iro re to fe w ara  dha,490
inf formula  abbott nutr  similac  lo iron  pdr not recon,601
inf formula nestle good start soy w dha  ara rtf,982
child formula abbott nutr pediasure rtf (formerly ross),384
inf form mead john next step pros lipil pdr w ara  dha,430
inf form me jo next step proso lipil reato feed w ara  dha,526
inf formula nestle good start soy w ara  dha pdr,523
inf formula  mead johnson  enfamil  lactofree  rtf,183
inf formula mead johnson enfamil lactofree w irn pdr notrec,302
chi formu abbt nutr pediasu rtf w iron  fib (former ross),212
inf formula nestle good start 2 essentials w iron rtf,364
inf formula  ne goo star 2 essent w iron liq conc not recon,692
inf formula nestle good start 2 essentials w iron pdr,810
inf formula nestle good start essentials soy w iron rtf,347
inf form nest good start essent soy w iron liq con not reco,171
inf formula nestle good start essentials soy w iron pdr,159
inf formula  mead johnson next step prosobee pdr not recon,190
inf formula mead johnson next step prosobee prep from pdr,695
babyfood corn  swt potatoes str,213
inf form  abbo nutr  simil  aliment  advan  rtf w ara  dha,232
inf formula pbm produc sto bra rtf (formerly wyeth-ayerst),959
inf form pbm prod store brand lc not rec (form wyeth-ayerst),649
inf formula pbm products store brand pdr,815
inf formula pbm products store brand soy rtf,572
inf formu pbm produ store br soy liq conc not recon,143
inf formula pbm products store brand soy pdr,249
inf formula  mead johns  enfami  ar lipil  rtf w ara  dha,446
inf formula  mea johnso  enfami  ar lipil  pdr  w ara  dha,667
inf form abbot nut simil neosu rtf w ara  dha,726
inf formula  abbott  similac  neosure  pdr  w ara  dha,937
inf formula  abb nutr  simi sens (lact fre) rtf w ara  dha,188
inf formula  abb nut simil sens (lact fr) liq con w ar  dh,703
inf formula  abb nutr simil sens (lacto fr)  pd  w ara  dh,675
inf formula  abbott nutr  similac  advance  w iron  rtf,149
inf formula abbott nutr similac advanc w iron pdr not recon,999
inf formu abbo nutr similac advan w iron liq conc not recon,533
inf formula  abb nutr  simil  isomil  adva w iron liq conc,499
inf formula  abbo nutr simil isomil  advance w iron rtf,932
inf formula  abb nutr  simi  isomi  advan w iro  pd not rec,477
inf formula mead johnson enfamil enfacare lipil rtf  aradha,842
babyfood yog whl milk w fruit multig crl  add dha fort,958
inf form abbott alimentum advance iron pdr notrec dhaara,552
babyfood mshd cheddar potatoesbroccoli toddler,560
inf formula nestle good start supreme w iron dha  ara rtf,124
inf form nestle good start supreme iron dhaara prp fr lc,963
infform meadjohnson enfamil gentlease lipil wiron prepfrpdr,476
babyfood fort crl bar fruit filling,465
babyfood yogu whl milk w frui multigra crl  add iron fort,765
inf formula nestle good start soy w dha  ara liq conc,303
toddl form me john enfa prem (forme enl lipil next step) pdr,784
toddler formula  mead johnson  enfagrow premium  rtf,496
inf formula mead johnson enfamil gentlease pdr,171
inf formula  mead johns  enfamil  enfagrow  gentlea tod  rtf,341
inf formula  mead johnson  enfamil  enfagrow  soy  todd rtf,196
inf formula mead johnson enfamil nutramigen aa rtf,936
inf formula mead johnson enfamil premature 20 cal rtf,536
inf formula mead johnson enfamil premature 24 calo rtf,999
inf formula mead johnson enfamil premium newborn rtf,742
inf formula  gerber  good start 2 soy w iron rtf,374
inf formula gerber good start protect plus rtf,283
inf formula gerber good start 2 gentle plus rtf,334
inf formula  gerber  good start 2 protect plus  rtf,268
inf formula  abbo nu simil go  gr rtf w ara  dha,921
inf formu  abbo nutr  simil  expert care  diarrh rt,797
inf formula  abbo nutr  simil  for spit up  rtf w ara  dha,511
babyfd fru ban and straw  ju,740
babyfoo ban wi mix berr st,410
babyfood  multigrain whole grain cereal  dry fortified,782
babyfood baby mum mum rice biscuits,517
babyfd snk ge grad lil crunch bkd whlgrn corn snk,778
inf formula  abbott nutrit  similac  for spit up  pow,983
fat beef tallow,518
lard,888
salad drsng kraft mayo lt mayo,612
salad drsng kraft mayo fat free mayo drsng,839
salad drsng kraft miracle whip free nonfat drsng,472
salad drsng russian drsng,321
salad drsng sesame sd drsng reg,122
salad drsng 1000 island comm reg,515
salad drsng mayo type reg wsalt,668
salad drsng french drsng red fat,386
salad drsng italian drsng comm red fat,381
salad drsng russian drsng lo cal,683
salad drsng 1000 island drsng red fat,682
salad drsng mayo reg,553
salad drsng mayo soybnsafflower oil wsalt,950
salad drsng mayo imitn soybn,948
salad drsng mayo imitn milk crm,673
salad drsng mayo imitn soybn wochol,105
sandwich sprd wchopd pickle reg unspec oils,151
shortening household partially hydrog soybn -cottonseed,645
oil soybn salad or cooking (partially hydrogenated),324
oil rice bran,149
oil wheat germ,790
oil pnut salad or cooking,746
oil soybn salad or cooking,867
oil cocnt,152
oil olive salad or cooking,259
oil palm,511
oil sesame salad or cooking,653
oil sunflower linoleic (less than 60),238
margarine reg hard soybn (hydr),663
salad drsng italian drsng comm reg,953
salad drsng french drsng comm reg,542
veg oil sprd unspec oils approx 37 fat w salt,197
salad drsng french home recipe,456
salad drsng home recipe vinegaroil,856
salad drsng french drsng comm reg wo salt,587
salad drsng french drsng red fat wo salt,907
salad drsng italian drsng comm reg wo salt,940
salad drsng italian drsng red fat wo salt,669
salad drsng mayo soybn oil wosalt,354
salad drsng french cttnsd oil home recipe,271
salad drsng french drsng fat-free,344
oil cocoa butter,656
oil cttnsd salad or cooking,712
oil sunflower linoleic (approx 65),129
oil safflower salad or cooking linoleic (over 70),793
oil safflower salad or cooking hi oleic,540
vegetable oil palm kernel,134
oil poppyseed,376
oil tomatoseed,518
oil teaseed,391
oil grapeseed,451
oil corn industrial  rtl allpurp salad or cooking,428
fat mutton tallow,576
oil walnut,559
oil almond,806
oil apricot kernel,543
oil soybn lecithin,727
oil hazelnut,457
oil babassu,930
oil sheanut,395
salad drsng blue or roquefort chs drsng comm reg,663
oil cupu assu,506
fat chicken,129
oil soybn salad or cooking (partially hydrogenated)  cttnsd,367
shortening household lardveg oil,729
oil sunflower linoleic (partially hydrogenated),971
shortening bread soybn (hydr)cttnsd,582
shortening cake mix soybn (hydr)cttnsd (hydr),190
shortening industrial lardveg oil,587
shortening frying (hvy duty) bf tallowcttnsd,766
shortening confectionery cocnt (hydr)or palm kernel (hydr),973
shortening industrial soybn (hydr)cttnsd,747
shortening frying (hvy duty) palm (hydr),604
shortening household soybn (hydr)palm,827
shortening frying hvy duty soybn hydr linoleic (less than 1,268
shortening confectionery fractionated palm,505
oil nutmeg butter,864
oil ucuhuba butter,672
fat duck,501
fat turkey,199
fat goose,104
oil avocado,843
oil canola,744
oil mustard,434
oil sunflower hi oleic (70  over),357
margarine-like margarine-butter blend soybn oil  butter,452
shortening spl purpose for cakesfrostings soybn (hydr),542
shortening spl purpose for baking soybn (hydr) palmcttnsd,910
oil oat,566
fish oil cod liver,568
fish oil herring,639
fish oil menhaden,741
fish oil menhaden fully hydr,600
fish oil salmon,412
fish oil sardine,997
shortening multipurpose soybn (hydr)palm (hydr),325
margarine-like veg oil-butter sprd tub w salt,335
butter lt stk wsalt,851
butter lt stk wosalt,456
meat drippings (lard bf tallow mutton tallow),821
animal fat bacon grease,493
margarine reg 80 fat comp stk w salt,811
margarine reg 80 fat comp tub w salt,768
margarine-like veg oil sprd 60 fat stk w salt,758
margarine-like veg oil sprd 60 fat tub w salt,473
margarine-like veg oil sprd 60 fat sticktubbottle w salt,782
shortening veg household comp,163
margarine reg 80 fat comp stk wo salt,350
margarine reg 80 fat comp tub wo salt,886
veg oil sprd 60 fat sticktubbottle wo salt,600
margarine-like veg oil sprd fat free liq w salt,337
margarine-like sprd w yogurt 70 fat stk w salt,245
margarine-like sprd w yogurt approx 40 fat tub w salt,871
margarine 80 fat stk incl reg  hydr corn  soybn oils,827
margarine  veg oil sprd 70 fat soybn  part hydr soybn stk,953
margarine sprd approx 48 fat tub,476
margarine-like veg oil sprd fat-free tub,189
margarine-like veg oil sprd 20 fat w salt,122
margarine-like veg oil sprd 20 fat wo salt,836
salad drsng 1000 island drsng fat-free,351
salad drsng italian drsng fat-free,491
salad drsng ranch drsng fat-free,360
salad drsng ranch drsng reg,260
salad drsng ranch drsng red fat,621
salad drsng mayo lt,915
oil industrial mid-oleic sunflower,408
oil industrial canola w antifoaming agent,411
oil industrial canola for salads woks  lt frying,420
oil indus canola (part hydrog) oil for deep fat frying,741
oil industrial cocnt,726
oil industrial soy (part hydr) for popcorn  flavoring veg,274
shortening indus soy (part hydrog) pourable liq fry,155
oil industrial soy refined for woks  lt frying,515
oil industrial soy (part hydr) for non-dairy butter flavor,928
oil industrial soy ( part hydrogenated) allpurp,599
oil industrial soy (part hydr )  soy pourable fry,888
oil indus soy (part hydrog)  cttnsd tortilla shortening,268
margarine-like shortening indus soy(part  hydr) cttnsd  soy,938
oil industrial palm kernel confection fat,145
oil industrial palm kernel (hydrogenated) confection fat,710
oil industrial palm kernel (hydrogenated) confection fat,911
